_id,synthetic_question,synthetic_answer
25261646,Is there a balcony?,"Yes, there is a balcony with access from the master bedroom."
25261646,Is there a kitchen?,"Yes, there is a kitchen available for guest use."
10545725,Are there any accessibility options for people with disabilities at this property?,The property description does not mention any specific accessibility features or accommodations for people with disabilities. It would be best to contact the host directly to inquire about any accessibility options and to ensure the property can meet your specific needs.
10545725,Does the property have a washer and dryer?,"Yes, the property amenities include a washer."
10545725,Does this property have a kitchen?,"Yes, the property has a fully equipped kitchen available for guest use."
12291906,Is the apartment wheelchair accessible?,"Yes, the apartment is wheelchair accessible and has an elevator."
12291906,Is there an elevator in the building?,"Yes, the building has an elevator."
12291906,Does the apartment have a kitchen?,"Yes, the apartment has a kitchen that guests can use."
20880869,Does the property have any accessibility features for guests with disabilities?,"Unfortunately, the property listing does not provide any specific information about accessibility features for guests with disabilities. It would be best to contact the host directly to inquire about any accommodations or accessibility options available."
20880869,Does the property have a TV?,"Yes, the property offers a TV as one of its amenities."
20880869,Does the property have a TV?,"Yes, the property provides a TV for guests."
17681470,Are there any accessibility features for people with disabilities in the Brooklyn Brownstone duplex?,"The description does not mention any specific accessibility features for people with disabilities, such as wheelchair ramps or modified bathrooms. It highlights stairs to the entrance and between floors, which may present challenges for those with limited mobility."
17681470,Does the property have a washer and dryer?,"Yes, the property includes a washer and dryer for guest use."
27404002,Are there any accessibility features for people with disabilities at this property?,"Yes, the property offers a step-free access, wide doorway, wide clearance to bed, and a well-lit path to the entrance."
27404002,Is there a kitchen available for guests to use?,"Yes, there is a shared kitchen that guests can use freely."
27404002,What type of parking is available at the property?,There is paid parking on the premises.
1936633,Are there any accessibility features for guests with disabilities?,"Unfortunately, the listing does not explicitly mention any accessibility features for guests with disabilities. However, it does highlight a large shared garden with direct beach access, which may be accessible depending on individual needs."
1936633,Is there a garden or backyard?,"Yes, the house has a large shared garden with direct access to the beach."
24083322,Is the apartment wheelchair accessible?,"Unfortunately, the apartment is not mentioned to be wheelchair accessible, as it is located on the ground floor and there is no specific mention of wheelchair accessibility in the property description or amenities."
